OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
360,1,777.294549,129.289413,129.289413,0,129.289413,0,129.289413
361,2,1554.589099,261.027374,294.443939,33.416565,277.735657,16.708282,555.471313
362,2,1554.589099,107.700424,132.4552,24.754776,120.077812,12.377388,240.155624
363,2,1554.589099,0,23.198589,23.198589,11.599295,11.599295,23.198589
364,1,777.294549,68.962486,68.962486,0,68.962486,0,68.962486
365,2,1554.589099,135,137.489548,2.489548,136.244774,1.244774,272.489548
366,1,777.294549,37.647621,37.647621,0,37.647621,0,37.647621
367,2,1554.589099,210.173523,214.114471,3.940948,212.143997,1.970474,424.287994
368,2,1554.589099,84.472458,109.230675,24.758217,96.851566,12.379108,193.703133
369,1,777.294549,142.853317,142.853317,0,142.853317,0,142.853317
370,1,777.294549,284.036255,284.036255,0,284.036255,0,284.036255
371,2,1554.589099,133.02507,148.495728,15.470657,140.760399,7.735329,281.520798
372,2,1554.589099,39.559666,350.537689,310.978024,195.048677,155.489012,390.097355
373,2,1554.589099,149.03624,168.690063,19.653824,158.863152,9.826912,317.726303
374,2,1554.589099,336.801422,351.027374,14.225952,343.914398,7.112976,687.828796
375,2,1554.589099,18.434948,18.434948,0,18.434948,0,36.869896
376,1,777.294549,135,135,0,135,0,135
377,2,1554.589099,81.869896,102.528809,20.658913,92.199352,10.329456,184.398705
378,1,777.294549,37.874985,37.874985,0,37.874985,0,37.874985
379,2,1554.589099,194.489761,200.282562,5.792801,197.386162,2.8964,394.772324
380,1,777.294549,315,315,0,315,0,315
